"Tabela 185 - Domicílios particulares permanentes por situação e número de moradores"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Brasil e Município";"Número de moradores";"Ano x Situação do domicílio"
"Cód.";"Brasil e Município";"Número de moradores";"2010"
"Cód.";"Brasil e Município";"Número de moradores";"Urbana"
"1720002";"Santa Terezinha do Tocantins (TO)";"Total";"65,45"
"1720101";"São Bento do Tocantins (TO)";"Total";"58,75"
"1720150";"São Félix do Tocantins (TO)";"Total";"61,16"
"1720200";"São Miguel do Tocantins (TO)";"Total";"25,11"
"1720259";"São Salvador do Tocantins (TO)";"Total";"55,08"
"1720309";"São Sebastião do Tocantins (TO)";"Total";"77,11"
"1720499";"São Valério (TO)";"Total";"59,78"
"1720655";"Silvanópolis (TO)";"Total";"79,23"
"1720804";"Sítio Novo do Tocantins (TO)";"Total";"54,88"
"1720853";"Sucupira (TO)";"Total";"61,89"
"1720903";"Taguatinga (TO)";"Total";"70,37"
"1720937";"Taipas do Tocantins (TO)";"Total";"76,75"
"1720978";"Talismã (TO)";"Total";"49,38"
"1721000";"Palmas (TO)";"Total";"97,54"
"1721109";"Tocantínia (TO)";"Total";"50,03"
"1721208";"Tocantinópolis (TO)";"Total";"83,65"
"1721257";"Tupirama (TO)";"Total";"59,41"
"1721307";"Tupiratins (TO)";"Total";"51,39"
"1722081";"Wanderlândia (TO)";"Total";"54,69"
"1722107";"Xambioá (TO)";"Total";"84,75"
"2100055";"Açailândia (MA)";"Total";"74,93"
"2100105";"Afonso Cunha (MA)";"Total";"56,25"
"2100154";"Água Doce do Maranhão (MA)";"Total";"27,93"
"2100204";"Alcântara (MA)";"Total";"27,68"
"2100303";"Aldeias Altas (MA)";"Total";"58,47"
"2100402";"Altamira do Maranhão (MA)";"Total";"31,46"
"2100436";"Alto Alegre do Maranhão (MA)";"Total";"78,97"
"2100477";"Alto Alegre do Pindaré (MA)";"Total";"33,06"
"2100501";"Alto Parnaíba (MA)";"Total";"66,69"
"2100550";"Amapá do Maranhão (MA)";"Total";"75,85"
"2100600";"Amarante do Maranhão (MA)";"Total";"40,85"
"2100709";"Anajatuba (MA)";"Total";"28,74"
"2100808";"Anapurus (MA)";"Total";"52,47"
"2100832";"Apicum-Açu (MA)";"Total";"61,09"
"2100873";"Araguanã (MA)";"Total";"38,75"
"2100907";"Araioses (MA)";"Total";"29,24"
"2100956";"Arame (MA)";"Total";"42,01"
"2101004";"Arari (MA)";"Total";"62,58"
"2101103";"Axixá (MA)";"Total";"41,65"
"2101202";"Bacabal (MA)";"Total";"78,73"
"2101251";"Bacabeira (MA)";"Total";"22,53"
"2101301";"Bacuri (MA)";"Total";"53,30"
"2101350";"Bacurituba (MA)";"Total";"27,34"
"2101400";"Balsas (MA)";"Total";"87,61"
"2101509";"Barão de Grajaú (MA)";"Total";"59,84"
"2101608";"Barra do Corda (MA)";"Total";"63,72"
"2101707";"Barreirinhas (MA)";"Total";"42,62"
