Dt-value,Dt-alias,AGG(state_title)-alias,AGG(avg_ponderada_br)-value,AGG(avg_ponderada_br)-alias
2020-06-12,12/06/2020,Amapá,0.4131552610691238,0.4131552610691238
2020-06-13,13/06/2020,Amapá,0.4438879875855259,0.4438879875855259
2020-06-14,14/06/2020,Amapá,0.5178262748487468,0.5178262748487468
2020-06-15,15/06/2020,Amapá,0.4395600534120459,0.4395600534120459
2020-06-16,16/06/2020,Amapá,0.4449673386247103,0.4449673386247103
2020-06-17,17/06/2020,Amapá,0.423831808339736,0.423831808339736
2020-06-18,18/06/2020,Amapá,0.4290575734426002,0.4290575734426002
2020-06-19,19/06/2020,Amapá,0.3811601284378054,0.3811601284378054
2020-06-20,20/06/2020,Amapá,0.4283411591562128,0.4283411591562128
2020-06-21,21/06/2020,Amapá,0.5149958988623802,0.5149958988623802
2020-06-22,22/06/2020,Amapá,0.4286856189615626,0.4286856189615626
2020-06-23,23/06/2020,Amapá,0.4213330547430004,0.4213330547430004
2020-06-24,24/06/2020,Amapá,0.4214974158402012,0.4214974158402012
2020-06-25,25/06/2020,Amapá,0.421476326920453,0.421476326920453
2020-06-26,26/06/2020,Amapá,0.4180270685084415,0.4180270685084415
2020-06-27,27/06/2020,Amapá,0.4533759869316636,0.4533759869316636
2020-06-28,28/06/2020,Amapá,0.5142738932561026,0.5142738932561026
2020-06-29,29/06/2020,Amapá,0.4362745098039216,0.4362745098039216
2020-06-30,30/06/2020,Amapá,0.4221590166078201,0.4221590166078201
2020-07-01,01/07/2020,Amapá,0.422152084079003,0.422152084079003
2020-07-02,02/07/2020,Amapá,0.4192787219795287,0.4192787219795287
2020-07-03,03/07/2020,Amapá,0.4049312775613996,0.4049312775613996
2020-07-04,04/07/2020,Amapá,0.4189976295292923,0.4189976295292923
2020-07-05,05/07/2020,Amapá,0.4925924634852024,0.4925924634852024
2020-07-06,06/07/2020,Amapá,0.4245129059117403,0.4245129059117403
2020-07-07,07/07/2020,Amapá,0.4131390238260468,0.4131390238260468
2020-07-08,08/07/2020,Amapá,0.4119170984455959,0.4119170984455959
